Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — First stage,2025-02-19,20:10,Once Caldas,3–1,Pereira,"20,639",Estadio Palogrande,Diego Ulloa
Apertura — First stage,2025-02-20,18:30,Unión Magdalena,1–3,Millonarios,"12,000",Estadio Sierra Nevada,Alexander Ortiz
Apertura — First stage,2025-02-21,19:30,La Equidad,0–1,Boyacá Chicó,200,Estadio Metropolitano de Techo,Diego Ruiz
Apertura — First stage,2025-02-22,18:20,Rionegro,0–1,Once Caldas,"3,000",Estadio Alberto Grisales,Carlos Betancourt
Apertura — First stage,2025-02-22,20:30,Pereira,2–0,Fortaleza FC,"7,000",Estadio Hernán Ramírez Villegas,Luis Gracia
Apertura — First stage,2025-02-23,16:00,Alianza,3–2,Nacional,"10,000",Estadio Armando Maestre Pavajeau,Nolberto Ararat
Apertura — First stage,2025-02-23,18:10,AD Cali,3–1,Millonarios,"27,000",Estadio Deportivo Cali,Ferney Trujillo
Apertura — First stage,2025-02-23,20:20,Tolima,0–0,CD América,"15,000",Estadio Manuel Murillo Toro,Bismarks Santiago
Apertura — First stage,2025-02-24,19:30,Junior,1–2,Envigado,"12,000",Estadio Metropolitano Roberto Meléndez,Luis Delgado
Apertura — First stage,2025-02-25,19:30,Pasto,2–1,Unión Magdalena,"8,000",Estadio Departamental Libertad,Wilmar Montaño
Apertura — First stage,2025-02-27,20:00,Independiente,3–0,Llaneros,"26,395",Estadio Atanasio Girardot,Mauricio Palencia
Apertura — First stage,2025-02-28,16:10,Envigado,1–7,Santa Fe,"1,500",Estadio Polideportivo Sur,Carlos Márquez
Apertura — First stage,2025-02-28,20:10,Boyacá Chicó,1–1,Rionegro,500,Estadio de la Independencia,Alexander Ortiz
Apertura — First stage,2025-03-01,15:00,CA Bucaramanga,1–1,Junior,"10,000",Estadio Américo Montanini,Carlos Betancourt
Apertura — First stage,2025-03-01,20:00,CD América,2–0,Pereira,"6,302",Estadio Olímpico Pascual Guerrero,Álvaro Mendez
Apertura — First stage,2025-03-02,15:00,Once Caldas,1–2,Alianza,"10,000",Estadio Palogrande,Jairo Mayorga
Apertura — First stage,2025-03-02,17:30,Millonarios,2–0,Tolima,"28,230",Estadio Nemesio Camacho El Campín,Diego Ulloa
Apertura — First stage,2025-03-03,17:00,Unión Magdalena,2–2,AD Cali,"5,000",Estadio Sierra Nevada,Diego Ruiz
Apertura — First stage,2025-03-03,19:30,Independiente,1–0,Pasto,,Estadio Atanasio Girardot,Liz Mair Suárez
Apertura — First stage,2025-03-04,18:30,Llaneros,1–0,La Equidad,"2,000",Estadio Bello Horizonte,Wilmar Roldán
Apertura — First stage,2025-03-04,20:30,Fortaleza FC,1–5,Nacional,"30,192",Estadio Nemesio Camacho El Campín,Luis G. Matorel
Apertura — First stage,2025-03-07,19:30,Rionegro,0–1,CA Bucaramanga,"2,000",Estadio Alberto Grisales,Diego Ulloa
Apertura — First stage,2025-03-08,14:00,Pereira,2–0,Envigado,"5,000",Estadio Hernán Ramírez Villegas,Ferney Trujillo
Apertura — First stage,2025-03-08,16:10,Alianza,1–0,Unión Magdalena,"2,000",Estadio Armando Maestre Pavajeau,Luis Delgado
Apertura — First stage,2025-03-08,18:20,Pasto,1–0,Llaneros,"3,000",Estadio Departamental Libertad,Luis Gracia
Apertura — First stage,2025-03-08,20:30,La Equidad,0–0,Independiente,"1,500",Estadio Metropolitano de Techo,Carlos Márquez
Apertura — First stage,2025-03-09,15:00,Santa Fe,2–0,Fortaleza FC,"29,216",Estadio Nemesio Camacho El Campín,Alejandro Moncada
Apertura — First stage,2025-03-09,17:30,Junior,2–1,Millonarios,"7,000",Estadio Metropolitano Roberto Meléndez,Nolberto Ararat
Apertura — First stage,2025-03-09,19:45,Nacional,1–0,CD América,"43,516",Estadio Atanasio Girardot,Alexander Ortiz
Apertura — First stage,2025-03-10,18:20,AD Cali,0–0,Boyacá Chicó,"43,516",Estadio Deportivo Cali,Mauricio Palencia
Apertura — First stage,2025-03-10,20:30,Tolima,2–0,Once Caldas,"10,000",Estadio Manuel Murillo Toro,Wilmar Roldán
Apertura — First stage,2025-03-14,18:30,CA Bucaramanga,0–1,Pereira,"5,000",Estadio Américo Montanini,Diego Ruiz
Apertura — First stage,2025-03-14,20:30,Pasto,2–1,La Equidad,"6,000",Estadio Departamental Libertad,Jairo Mayorga
Apertura — First stage,2025-03-15,14:00,Envigado,0–0,Nacional,"11,000",Estadio Polideportivo Sur,Wilmar Roldán
Apertura — First stage,2025-03-15,16:10,Fortaleza FC,1–1,Tolima,"5,000",Estadio Metropolitano de Techo,Álvaro Meléndez
Apertura — First stage,2025-03-15,18:20,CD América,3–0,Alianza,"4,550",Estadio Olímpico Pascual Guerrero,Alejandro Moncada
Apertura — First stage,2025-03-15,20:30,Once Caldas,0–1,Santa Fe,"13,288",Estadio Palogrande,Luis G. Matorel
Apertura — First stage,2025-03-16,14:00,Millonarios,1–0,Rionegro,"22,809",Estadio Nemesio Camacho El Campín,Carlos Márquez
Apertura — First stage,2025-03-16,16:10,Unión Magdalena,1–1,Boyacá Chicó,"6,000",Estadio Sierra Nevada,Diego Ulloa
Apertura — First stage,2025-03-16,18:20,Independiente,0–0,AD Cali,"38,491",Estadio Atanasio Girardot,Bismarks Santiago
Apertura — First stage,2025-03-16,20:30,Llaneros,0–1,Junior,"7,000",Estadio Bello Horizonte,Luis Delgado
Apertura — First stage,2025-03-19,18:30,Santa Fe,1–1,CA Bucaramanga,"14,754",Estadio Nemesio Camacho El Campín,Mauricio Palencia
Apertura — First stage,2025-03-19,20:30,Nacional,4–3,Tolima,500,Estadio Atanasio Girardot,Diego Ruiz
Apertura — First stage,2025-03-22,14:00,Boyacá Chicó,0–0,Pasto,500,Estadio de la Independencia,Álvaro Meléndez
Apertura — First stage,2025-03-22,16:10,La Equidad,1–1,Fortaleza FC,500,Estadio Metropolitano de Techo,Bismarks Santiago
Apertura — First stage,2025-03-22,18:20,Pereira,1–1,Once Caldas,"20,000",Estadio Hernán Ramírez Villegas,Alexander Ortiz
