Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — Cuadrangulares,2025-06-05,20:15,Millonarios,0–0,Nacional,"34,350",Estadio Nemesio Camacho El Campín,Luis G. Matorel
Apertura — Cuadrangulares,2025-06-07,18:15,Tolima,1–1,CD América,"15,000",Estadio Manuel Murillo Toro,Alejandro Moncada
Apertura — Cuadrangulares,2025-06-08,16:05,Nacional,1–2,Santa Fe,"38,004",Estadio Atanasio Girardot,Jairo Mayorga
Apertura — Cuadrangulares,2025-06-08,18:15,Junior,0–1,Independiente,"14,131",Estadio Metropolitano Roberto Meléndez,Alexander Ortiz
Apertura — Cuadrangulares,2025-06-08,20:20,Once Caldas,0–0,Millonarios,"15,000",Estadio Palogrande,Wilmar Roldán
Apertura — Cuadrangulares,2025-06-11,18:15,Independiente,1–0,Junior,"30,013",Estadio Atanasio Girardot,Luis Gracia
Apertura — Cuadrangulares,2025-06-11,20:20,Millonarios,2–2,Once Caldas,"31,203",Estadio Nemesio Camacho El Campín,Jairo Mayorga
Apertura — Cuadrangulares,2025-06-12,18:20,CD América,1–3,Tolima,"15,000",Estadio Olímpico Pascual Guerrero,Jhon Ospina
Apertura — Cuadrangulares,2025-06-12,20:20,Santa Fe,1–2,Nacional,"30,134",Estadio Nemesio Camacho El Campín,Diego Ulloa
Apertura — Cuadrangulares,2025-06-15,18:15,Independiente,2–1,Tolima,"37,031",Estadio Atanasio Girardot,Andrés Rojas
Apertura — Cuadrangulares,2025-06-15,20:20,Junior,0–1,CD América,"15,000",Estadio Metropolitano Roberto Meléndez,Wilmar Roldán
Apertura — Cuadrangulares,2025-06-16,18:15,Santa Fe,1–0,Once Caldas,"20,179",Estadio Nemesio Camacho El Campín,Luis G. Matorel
Apertura — Cuadrangulares,2025-06-16,20:20,Nacional,0–1,Millonarios,"44,284",Estadio Atanasio Girardot,Bismarks Santiago
Apertura — Cuadrangulares,2025-06-19,16:00,Tolima,2–0,Junior,"4,000",Estadio Manuel Murillo Toro,Luis Delgado
Apertura — Cuadrangulares,2025-06-19,18:05,Once Caldas,1–2,Nacional,"8,000",Estadio Palogrande,Jairo Mayorga
Apertura — Cuadrangulares,2025-06-19,20:15,CD América,1–1,Independiente,"3,000",Estadio Olímpico Pascual Guerrero,Álvaro Meléndez
Apertura — Cuadrangulares,2025-06-19,20:15,Millonarios,1–2,Santa Fe,"33,480",Estadio Nemesio Camacho El Campín,Andrés Rojas
Apertura — Final,2025-06-24,19:30,Santa Fe,0–0,Independiente,"35,072",Estadio Nemesio Camacho El Campín,Diego Ulloa
Apertura — Final,2025-06-29,18:00,Independiente,1–2,Santa Fe,"44,629",Estadio Atanasio Girardot,Bismarks Santiago
Finalización — First stage,2025-07-11,18:00,Llaneros,0–0,CD América,"12,000",Estadio Bello Horizonte,Stiven Camargo
Finalización — First stage,2025-07-11,20:10,Once Caldas,1–3,Nacional,"28,000",Estadio Palogrande,Carlos Betancourt
Finalización — First stage,2025-07-12,14:00,Pasto,3–2,Tolima,"3,000",Estadio Departamental Libertad,Wilmar Montaño
Finalización — First stage,2025-07-12,16:10,Envigado,0–1,Fortaleza FC,"2,000",Estadio Polideportivo Sur,Héctor Rivera
Finalización — First stage,2025-07-12,18:20,CA Bucaramanga,1–1,Boyacá Chicó,"4,000",Estadio Américo Montanini,Mauricio Palencia
Finalización — First stage,2025-07-12,20:30,AD Cali,0–2,Junior,"35,000",Estadio Deportivo Cali,Alexander Ortiz
Finalización — First stage,2025-07-13,15:00,Independiente,1–1,Alianza,"14,064",Estadio Atanasio Girardot,Andrés Rojas
Finalización — First stage,2025-07-13,17:15,Pereira,2–2,Santa Fe,"25,000",Estadio Hernán Ramírez Villegas,Álvaro Meléndez
Finalización — First stage,2025-07-13,19:30,La Equidad,0–0,Rionegro,"2,000",Estadio Metropolitano de Techo,Luis G. Matorel
Finalización — First stage,2025-07-18,18:00,Unión Magdalena,0–0,Llaneros,"3,000",Estadio Sierra Nevada,Luis Gracia
Finalización — First stage,2025-07-18,20:10,Tolima,0–1,Santa Fe,"5,000",Estadio Manuel Murillo Toro,Diego Ruiz
Finalización — First stage,2025-07-19,14:00,Rionegro,2–3,Junior,"3,000",Estadio Alberto Grisales,Jairo Mayorga
Finalización — First stage,2025-07-19,16:10,Alianza,1–0,Pereira,"2,000",Estadio Armando Maestre Pavajeau,Diego Ulloa
Finalización — First stage,2025-07-19,18:20,Nacional,3–1,La Equidad,"26,564",Estadio Atanasio Girardot,Bismarks Santiago
Finalización — First stage,2025-07-19,20:30,Boyacá Chicó,2–0,Independiente,500,Estadio de la Independencia,Luis Delgado
Finalización — First stage,2025-07-20,15:00,Envigado,0–0,AD Cali,500,Estadio Polideportivo Sur,Jhon Ospina
Finalización — First stage,2025-07-20,17:15,Fortaleza FC,2–1,Once Caldas,500,Estadio Metropolitano de Techo,Ferney Trujillo
Finalización — First stage,2025-07-22,16:00,Alianza,0–1,Tolima,"1,000",Estadio Armando Maestre Pavajeau,Carlos Betancourt
Finalización — First stage,2025-07-22,18:10,Santa Fe,0–0,Rionegro,"14,711",Estadio Nemesio Camacho El Campín,Carlos Márquez
Finalización — First stage,2025-07-22,20:20,Pereira,2–1,Nacional,"30,000",Estadio Hernán Ramírez Villegas,Alexander Ortiz
Finalización — First stage,2025-07-23,16:00,Llaneros,2–1,Boyacá Chicó,"1,000",Estadio Bello Horizonte,Wilmar Montaño
Finalización — First stage,2025-07-23,18:10,Junior,4–1,Unión Magdalena,"12,000",Estadio Metropolitano Roberto Meléndez,Wilmar Roldán
Finalización — First stage,2025-07-23,20:20,La Equidad,1–0,Millonarios,"8,500",Estadio Metropolitano de Techo,Alejandro Moncada
Finalización — First stage,2025-07-24,18:00,Independiente,3–4,Envigado,"10,616",Estadio Atanasio Girardot,Carlos Ortega
Finalización — First stage,2025-07-24,20:10,AD Cali,1–1,Fortaleza FC,"15,000",Estadio Deportivo Cali,Lizmair
Finalización — First stage,2025-07-25,18:20,Tolima,1–0,Pereira,"4,000",Estadio Manuel Murillo Toro,Stiven Camargo
Finalización — First stage,2025-07-25,20:30,Nacional,1–1,Santa Fe,"29,017",Estadio Atanasio Girardot,Luis G. Matorel
Finalización — First stage,2025-07-26,16:00,Boyacá Chicó,2–2,Pasto,"1,500",Estadio de la Independencia,David Espinosa
Finalización — First stage,2025-07-26,18:10,Once Caldas,2–2,Junior,"8,000",Estadio Palogrande,Andrés Rojas
Finalización — First stage,2025-07-26,20:20,CD América,2–1,Rionegro,"12,000",Estadio Olímpico Pascual Guerrero,Bismarks Santiago
Finalización — First stage,2025-07-27,16:00,Envigado,1–1,La Equidad,"2,000",Estadio Polideportivo Sur,Mauricio Palencia
Finalización — First stage,2025-07-27,18:20,Unión Magdalena,0–2,Independiente,"2,000",Estadio Sierra Nevada,Jhon Ospina
Finalización — First stage,2025-07-27,20:20,Fortaleza FC,2–2,Alianza,500,Estadio Metropolitano de Techo,Jonathan Ortíz
Finalización — First stage,2025-07-28,18:00,CA Bucaramanga,2–3,AD Cali,"7,000",Estadio Américo Montanini,Wilmar Roldán
Finalización — First stage,2025-07-28,20:10,Millonarios,0–1,Llaneros,"14,114",Estadio Nemesio Camacho El Campín,Nolberto Ararat
Finalización — First stage,2025-08-01,18:00,La Equidad,0–1,Unión Magdalena,"1,000",Estadio Metropolitano de Techo,Nolberto Ararat
Finalización — First stage,2025-08-02,14:00,AD Cali,0–3,Llaneros,"12,000",Estadio Deportivo Cali,Carlos Márquez
Finalización — First stage,2025-08-02,16:10,Junior,2–0,Boyacá Chicó,"7,000",Estadio Metropolitano Roberto Meléndez,Luis Gracia
Finalización — First stage,2025-08-02,18:20,Tolima,0–0,Nacional,"9,000",Estadio Manuel Murillo Toro,Diego Ulloa
Finalización — First stage,2025-08-02,20:30,Santa Fe,2–1,CD América,"21,519",Estadio Nemesio Camacho El Campín,Jairo Mayorga
Finalización — First stage,2025-08-03,14:00,Pereira,2–1,Once Caldas,"27,000",Estadio Hernán Ramírez Villegas,Luis G. Matorel
Finalización — First stage,2025-08-03,16:10,Alianza,1–3,CA Bucaramanga,"9,000",Estadio Armando Maestre Pavajeau,Diego Ruiz
Finalización — First stage,2025-08-03,18:20,Independiente,1–0,Millonarios,"14,423",Estadio Atanasio Girardot,Carlos Betancourt
Finalización — First stage,2025-08-03,20:30,Rionegro,2–2,Fortaleza FC,"1,000",Estadio Alberto Grisales,Álvaro Meléndez
Finalización — First stage,2025-08-07,18:00,Unión Magdalena,1–1,Pasto,"4,000",Estadio Sierra Nevada,Jairo Mayorga
Finalización — First stage,2025-08-08,15:30,Nacional,3–0,Alianza,"10,000",Estadio Atanasio Girardot,Nolberto Ararat
Finalización — First stage,2025-08-08,19:30,Millonarios,3–3,AD Cali,"16,730",Estadio Nemesio Camacho El Campín,Alexander Ortiz
Finalización — First stage,2025-08-09,15:00,Once Caldas,1–1,Rionegro,"9,000",Estadio Palogrande,Luis Gracia
Finalización — First stage,2025-08-09,17:15,CD América,0–1,Tolima,"8,000",Estadio Olímpico Pascual Guerrero,Andrés Rojas
Finalización — First stage,2025-08-09,19:30,CA Bucaramanga,2–1,Santa Fe,"14,000",Estadio Américo Montanini,Luis Delgado
Finalización — First stage,2025-08-10,15:00,Envigado,1–1,Junior,"1,000",Estadio Polideportivo Sur,Wilmar Montaño
Finalización — First stage,2025-08-10,17:15,Fortaleza FC,0–0,Pereira,500,Estadio Metropolitano de Techo,Diego Ruiz
Finalización — First stage,2025-08-10,19:30,Llaneros,0–1,Independiente,"11,000",Estadio Bello Horizonte,Jonathan Ortíz
Finalización — First stage,2025-08-11,20:00,Boyacá Chicó,0–0,La Equidad,"1,000",Estadio de la Independencia,Héctor Rivera
Finalización — First stage,2025-08-13,19:30,AD Cali,3–1,Unión Magdalena,"35,000",Estadio Deportivo Cali,Jonathan Ortíz
Finalización — First stage,2025-08-14,18:00,Pereira,2–1,CD América,"25,000",Estadio Hernán Ramírez Villegas,Álvaro Meléndez
Finalización — First stage,2025-08-14,20:10,Pasto,0–1,Envigado,"8,000",Estadio Departamental Libertad,Stiven Camargo
Finalización — First stage,2025-08-15,16:00,Alianza,0–0,Once Caldas,"2,000",Estadio Armando Maestre Pavajeau,Alejandro Moncada
Finalización — First stage,2025-08-16,15:00,La Equidad,2–1,Llaneros,"2,000",Estadio Metropolitano de Techo,Jairo Mayorga
Finalización — First stage,2025-08-16,17:15,Rionegro,2–0,Boyacá Chicó,"1,000",Estadio Alberto Grisales,Andrés Rojas
Finalización — First stage,2025-08-16,19:30,Nacional,2–2,Fortaleza FC,"1,630",Estadio Atanasio Girardot,Mauricio Palencia
Finalización — First stage,2025-08-17,18:10,Tolima,3–1,Millonarios,"8,000",Estadio Manuel Murillo Toro,Wilmar Roldán
Finalización — First stage,2025-08-18,17:15,Junior,2–1,CA Bucaramanga,"35,000",Estadio Metropolitano Roberto Meléndez,Alexander Ortiz
Finalización — First stage,2025-08-18,19:30,Pasto,1–2,Independiente,"7,000",Estadio Departamental Libertad,Nolberto Ararat
Finalización — First stage,2025-08-19,19:30,Santa Fe,1–0,Envigado,"12,203",Estadio Nemesio Camacho El Campín,Bismarks Santiago
Finalización — First stage,2025-08-20,19:30,Millonarios,1–2,Unión Magdalena,"13,849",Estadio Nemesio Camacho El Campín,Jhon Ospina
Finalización — First stage,2025-08-22,20:10,Llaneros,2–1,Pasto,"11,000",Estadio Bello Horizonte,Carlos Ortega
Finalización — First stage,2025-08-23,14:00,Independiente,3–1,La Equidad,"13,742",Estadio Atanasio Girardot,Carlos Márquez
Finalización — First stage,2025-08-23,16:10,Envigado,1–1,Pereira,"3,000",Estadio Polideportivo Sur,Luis Delgado
Finalización — First stage,2025-08-23,18:20,Fortaleza FC,2–0,Santa Fe,"9,000",Estadio Metropolitano de Techo,Wilmar Roldán
Finalización — First stage,2025-08-23,20:30,Millonarios,3–0,Junior,"17,447",Estadio Nemesio Camacho El Campín,Diego Ulloa
Finalización — First stage,2025-08-24,14:00,Once Caldas,0–1,Tolima,"6,000",Estadio Palogrande,Álvaro Meléndez
Finalización — First stage,2025-08-24,16:10,Unión Magdalena,2–3,Alianza,"3,000",Estadio Sierra Nevada,Andrés Rojas
Finalización — First stage,2025-08-24,18:20,CD América,1–1,Nacional,"10,536",Estadio Olímpico Pascual Guerrero,Bismarks Santiago
Finalización — First stage,2025-08-24,20:30,CA Bucaramanga,4–0,Rionegro,"16,000",Estadio Américo Montanini,Nolberto Ararat
Finalización — First stage,2025-08-25,18:00,Boyacá Chicó,0–0,AD Cali,"1,000",Estadio de la Independencia,Luis Gracia
Finalización — First stage,2025-08-29,18:00,Junior,4–0,Llaneros,"7,000",Estadio Metropolitano Roberto Meléndez,Alejandro Moncada
Finalización — First stage,2025-08-29,20:10,Rionegro,1–2,Millonarios,"2,000",Estadio Alberto Grisales,Luis Gracia
Finalización — First stage,2025-08-30,14:00,Boyacá Chicó,1–0,Unión Magdalena,500,Estadio de la Independencia,Alexander Ortiz
Finalización — First stage,2025-08-30,18:20,Pereira,0–1,CA Bucaramanga,"3,000",Estadio Centenario,Carlos Ortega
Finalización — First stage,2025-08-30,20:30,AD Cali,1–3,Independiente,"35,000",Estadio Deportivo Cali,Álvaro Meléndez
Finalización — First stage,2025-08-31,14:00,Nacional,1–0,Envigado,"25,760",Estadio Atanasio Girardot,Wilmar Roldán
Finalización — First stage,2025-08-31,16:10,Alianza,1–0,CD América,"6,000",Estadio Armando Maestre Pavajeau,Jhon Ospina
Finalización — First stage,2025-08-31,18:20,Tolima,1–1,Fortaleza FC,"10,000",Estadio Manuel Murillo Toro,Luis G. Matorel
Finalización — First stage,2025-08-31,18:20,La Equidad,0–0,Pasto,500,Estadio Metropolitano de Techo,Lizmair
Finalización — First stage,2025-09-01,19:30,Santa Fe,1–2,Once Caldas,"14,246",Estadio Nemesio Camacho El Campín,Carlos Márquez
Finalización — First stage,2025-09-05,18:00,Pasto,2–0,Boyacá Chicó,"5,000",Estadio Departamental Libertad,Jhon Ospina
Finalización — First stage,2025-09-05,20:10,Once Caldas,1–0,Pereira,"14,000",Estadio Palogrande,Wilmar Roldán
Finalización — First stage,2025-09-06,15:30,CA Bucaramanga,3–1,Alianza,"7,000",Estadio Américo Montanini,Diego Ulloa
Finalización — First stage,2025-09-06,16:10,Llaneros,1–0,Tolima,"3,000",Estadio Bello Horizonte,Luis Delgado
Finalización — First stage,2025-09-06,18:20,Unión Magdalena,3–1,Junior,"5,000",Estadio Sierra Nevada,Carlos Betancourt
Finalización — First stage,2025-09-06,20:30,Millonarios,0–0,Santa Fe,"26,264",Estadio Nemesio Camacho El Campín,Alexander Ortiz
Finalización — First stage,2025-09-07,14:00,Envigado,1–1,Rionegro,"2,000",Estadio Polideportivo Sur,Jairo Mayorga
Finalización — First stage,2025-09-07,16:10,CD América,0–0,AD Cali,"1,000",Estadio Olímpico Pascual Guerrero,Luis G. Matorel
Finalización — First stage,2025-09-07,18:20,Independiente,3–3,Nacional,"36,534",Estadio Atanasio Girardot,Andrés Rojas
Finalización — First stage,2025-09-07,20:30,Fortaleza FC,1–0,La Equidad,500,Estadio Metropolitano de Techo,Luis Gracia
Finalización — First stage,2025-09-09,20:30,CA Bucaramanga,0–0,Once Caldas,"6,000",Estadio Américo Montanini,Jonathan Ortíz
Finalización — First stage,2025-09-10,19:30,Millonarios,1–0,Pasto,"14,668",Estadio Nemesio Camacho El Campín,Bismarks Santiago
Finalización — First stage,2025-09-12,19:30,Junior,1–1,La Equidad,"9,000",Estadio Metropolitano Roberto Meléndez,Luis Delgado
Finalización — First stage,2025-09-13,14:00,Fortaleza FC,1–0,CD América,"5,385",Estadio Nemesio Camacho El Campín,Alejandro Moncada
Finalización — First stage,2025-09-13,16:10,Alianza,3–0,Millonarios,"5,000",Estadio Armando Maestre Pavajeau,Jairo Mayorga
Finalización — First stage,2025-09-13,18:20,Once Caldas,1–0,Envigado,"10,000",Estadio Palogrande,Alexander Ortiz
Finalización — First stage,2025-09-13,20:30,Nacional,0–3,CA Bucaramanga,"28,832",Estadio Atanasio Girardot,Luis G. Matorel
Finalización — First stage,2025-09-14,14:00,Santa Fe,2–0,Unión Magdalena,"19,001",Estadio Nemesio Camacho El Campín,Jonathan Ortíz
Finalización — First stage,2025-09-14,16:10,AD Cali,2–1,Pasto,"20,000",Estadio Deportivo Cali,Carlos Ortega
Finalización — First stage,2025-09-14,18:20,Pereira,0–0,Llaneros,"3,000",Estadio Centenario,Carlos Betancourt
Finalización — First stage,2025-09-14,20:30,Tolima,4–0,Boyacá Chicó,"4,000",Estadio Manuel Murillo Toro,Andrés Rojas
Finalización — First stage,2025-09-16,18:00,CD América,0–0,CA Bucaramanga,200,Estadio Olímpico Pascual Guerrero,Wilmar Roldán
Finalización — First stage,2025-09-19,18:00,CA Bucaramanga,2–0,Tolima,"7,000",Estadio Américo Montanini,Alejandro Moncada
Finalización — First stage,2025-09-19,20:10,CD América,2–1,Once Caldas,"3,000",Estadio Olímpico Pascual Guerrero,Wilmar Montaño
Finalización — First stage,2025-09-20,14:00,Envigado,0–0,Alianza,"2,000",Estadio Polideportivo Sur,Stiven Camargo
Finalización — First stage,2025-09-20,16:10,Llaneros,0–1,Rionegro,"2,000",Estadio Bello Horizonte,Carlos Ortega
Finalización — First stage,2025-09-20,18:20,Pasto,1–1,Santa Fe,"1,000",Estadio Departamental Libertad,Diego Ulloa
Finalización — First stage,2025-09-20,20:30,La Equidad,0–4,AD Cali,"7,000",Estadio Metropolitano de Techo,Wilmar Roldán
Finalización — First stage,2025-09-21,14:00,Millonarios,3–2,Fortaleza FC,"15,225",Estadio Nemesio Camacho El Campín,Jhon Ospina
Finalización — First stage,2025-09-21,16:10,Unión Magdalena,1–2,Nacional,"6,000",Estadio Sierra Nevada,Alexander Ortiz
Finalización — First stage,2025-09-21,18:20,Independiente,2–2,Junior,"26,793",Estadio Atanasio Girardot,Jairo Mayorga
Finalización — First stage,2025-09-21,20:30,Boyacá Chicó,1–1,Pereira,500,Estadio de la Independencia,Carlos Márquez
Finalización — First stage,2025-09-24,20:00,Pasto,0–2,CD América,"4,000",Estadio Departamental Libertad,Ferney Trujillo
Finalización — First stage,2025-09-26,18:00,Once Caldas,5–2,Boyacá Chicó,"14,000",Estadio Palogrande,Jonathan Ortíz
Finalización — First stage,2025-09-26,20:10,Fortaleza FC,2–1,CA Bucaramanga,"6,000",Estadio Metropolitano de Techo,Carlos Ortega
Finalización — First stage,2025-09-27,14:00,Pereira,2–2,Unión Magdalena,"10,000",Estadio Centenario,Luis Delgado
Finalización — First stage,2025-09-27,16:10,Alianza,3–1,Llaneros,"5,000",Estadio Armando Maestre Pavajeau,Wilmar Roldán
Finalización — First stage,2025-09-27,18:20,Tolima,2–3,Independiente,"7,000",Estadio Manuel Murillo Toro,Héctor Rivera
Finalización — First stage,2025-09-27,20:30,Nacional,2–0,Millonarios,"38,288",Estadio Atanasio Girardot,Diego Ulloa
Finalización — First stage,2025-09-28,14:00,CD América,1–1,Envigado,"3,960",Estadio Olímpico Pascual Guerrero,Jhon Ospina
Finalización — First stage,2025-09-28,16:10,Rionegro,3–1,AD Cali,100,Estadio Alberto Grisales,Wilmar Montaño
Finalización — First stage,2025-09-28,18:20,Santa Fe,3–0,La Equidad,"12,646",Estadio Nemesio Camacho El Campín,Alexander Ortiz
Finalización — First stage,2025-09-28,20:30,Junior,2–0,Pasto,"10,000",Estadio Metropolitano Roberto Meléndez,Carlos Betancourt
Finalización — First stage,2025-10-03,19:30,AD Cali,1–0,Pereira,"15,000",Estadio Deportivo Cali,Stiven Camargo
Finalización — First stage,2025-10-04,14:00,Envigado,1–2,CA Bucaramanga,"1,000",Estadio Polideportivo Sur,Héctor Rivera
Finalización — First stage,2025-10-04,16:10,Unión Magdalena,3–2,Rionegro,"2,000",Estadio Sierra Nevada,Jhon Ospina
Finalización — First stage,2025-10-04,18:20,Llaneros,0–0,Fortaleza FC,"3,000",Estadio Bello Horizonte,Carlos Betancourt
Finalización — First stage,2025-10-05,15:00,Pasto,3–3,Alianza,"3,000",Estadio Departamental Libertad,Luis Delgado
Finalización — First stage,2025-10-05,17:15,Junior,0–1,Tolima,"12,000",Estadio Metropolitano Roberto Meléndez,Alexander Ortiz
Finalización — First stage,2025-10-05,19:30,Boyacá Chicó,1–1,Nacional,"15,000",Estadio de la Independencia,Jairo Mayorga
Finalización — First stage,2025-10-06,19:30,La Equidad,0–1,Once Caldas,"1,000",Estadio Metropolitano de Techo,Carlos Ortega
Finalización — First stage,2025-10-07,19:30,Millonarios,2–1,CD América,"21,663",Estadio Nemesio Camacho El Campín,Wilmar Roldán
Finalización — First stage,2025-10-08,15:30,Rionegro,2–1,Independiente,"1,000",Estadio Alberto Grisales,Jonathan Ortíz
Finalización — First stage,2025-10-11,15:00,Tolima,1–2,Envigado,"3,500",Estadio Manuel Murillo Toro,Wilmar Montaño
Finalización — First stage,2025-10-11,19:30,CD América,3–2,La Equidad,"3,000",Estadio Olímpico Pascual Guerrero,Ferney Trujillo
Finalización — First stage,2025-10-12,14:00,Santa Fe,1–3,Llaneros,"8,000",Estadio Nemesio Camacho El Campín,Luis Delgado
Finalización — First stage,2025-10-12,16:10,Alianza,0–1,Junior,"10,000",Estadio Armando Maestre Pavajeau,Diego Ruiz
Finalización — First stage,2025-10-12,18:20,CA Bucaramanga,1–0,Unión Magdalena,"22,000",Estadio Américo Montanini,Carlos Betancourt
Finalización — First stage,2025-10-12,20:30,Rionegro,2–2,Pasto,"1,000",Estadio Alberto Grisales,Stiven Camargo
Finalización — First stage,2025-10-13,17:15,Once Caldas,1–5,Independiente,"18,000",Estadio Palogrande,Jhon Ospina
Finalización — First stage,2025-10-13,19:30,Fortaleza FC,1–0,Boyacá Chicó,500,Estadio Metropolitano de Techo,Diego Ulloa
Finalización — First stage,2025-10-14,19:30,Nacional,2–1,AD Cali,"26,036",Estadio Atanasio Girardot,Carlos Ortega
Finalización — First stage,2025-10-15,18:20,Pereira,3–2,Millonarios,"10,000",Estadio Centenario,Luis G. Matorel
Finalización — First stage,2025-10-17,18:30,Independiente,3–1,Fortaleza FC,"18,700",Estadio Atanasio Girardot,Ferney Trujillo
Finalización — First stage,2025-10-17,18:30,Unión Magdalena,3–1,Envigado,"3,000",Estadio Sierra Nevada,Diego Ulloa
Finalización — First stage,2025-10-17,20:30,Boyacá Chicó,0–0,Santa Fe,"1,000",Estadio de la Independencia,Héctor Rivera
Finalización — First stage,2025-10-18,14:00,Pasto,2–2,Nacional,"3,500",Estadio Departamental Libertad,Wilmar Montaño
Finalización — First stage,2025-10-18,16:10,Rionegro,1–0,Alianza,500,Estadio Alberto Grisales,Carlos Betancourt
Finalización — First stage,2025-10-18,18:20,Junior,3–2,Pereira,"9,000",Estadio Metropolitano Roberto Meléndez,Wilmar Roldán
Finalización — First stage,2025-10-18,20:30,AD Cali,0–2,CD América,"26,741",Estadio Deportivo Cali,Jhon Ospina
Finalización — First stage,2025-10-19,16:10,Llaneros,2–0,Once Caldas,"13,000",Estadio Bello Horizonte,Alexander Ortiz
Finalización — First stage,2025-10-20,18:00,La Equidad,0–2,Tolima,500,Estadio Metropolitano de Techo,Luis G. Matorel
Finalización — First stage,2025-10-20,20:10,Independiente,1–1,Santa Fe,"18,228",Estadio Atanasio Girardot,Carlos Márquez
Finalización — First stage,2025-10-21,18:00,Millonarios,1–1,CA Bucaramanga,"15,799",Estadio Nemesio Camacho El Campín,Luis Delgado
Finalización — First stage,2025-10-24,16:00,Alianza,2–0,La Equidad,"3,000",Estadio Armando Maestre Pavajeau,Alexander Ortiz
Finalización — First stage,2025-10-24,18:00,Fortaleza FC,2–0,Pasto,"1,000",Estadio Metropolitano de Techo,Carlos Betancourt
Finalización — First stage,2025-10-24,20:10,Pereira,1–5,Rionegro,"2,000",Estadio Centenario,Carlos Ortega
Finalización — First stage,2025-10-24,20:10,CD América,2–1,Junior,"5,262",Estadio Francisco Rivera Escobar,Héctor Rivera
Finalización — First stage,2025-10-25,14:00,Envigado,0–2,Boyacá Chicó,500,Estadio Polideportivo Sur,Stiven Camargo
Finalización — First stage,2025-10-25,15:00,Tolima,2–1,AD Cali,"4,000",Estadio Manuel Murillo Toro,Álvaro Meléndez
Finalización — First stage,2025-10-25,16:10,CA Bucaramanga,2–0,Llaneros,"18,000",Estadio Américo Montanini,Diego Ulloa
Finalización — First stage,2025-10-25,18:20,Santa Fe,0–1,Millonarios,"18,776",Estadio Nemesio Camacho El Campín,Jhon Ospina
Finalización — First stage,2025-10-25,21:30,Once Caldas,1–0,Unión Magdalena,"6,000",Estadio Palogrande,Luis Delgado
Finalización — First stage,2025-10-26,18:30,Nacional,5–2,Independiente,"38,396",Estadio Atanasio Girardot,Wilmar Roldán
Finalización — First stage,2025-10-27,19:45,Pasto,4–0,Pereira,"2,000",Estadio Departamental Libertad,Alexander Ortiz
Finalización — First stage,2025-10-28,16:00,Rionegro,1–0,Envigado,,Estadio Alberto Grisales,Álvaro Meléndez
Finalización — First stage,2025-10-28,18:10,AD Cali,0–1,Alianza,,Estadio Deportivo Cali,Jonathan Ortíz
Finalización — First stage,2025-10-29,16:00,La Equidad,0–1,Fortaleza FC,500,Estadio Metropolitano de Techo,Luis Delgado
Finalización — First stage,2025-10-29,18:10,Junior,1–2,Santa Fe,"7,000",Estadio Metropolitano Roberto Meléndez,Diego Ulloa
Finalización — First stage,2025-10-29,18:10,Independiente,3–0,CA Bucaramanga,"18,709",Estadio Atanasio Girardot,Diego Ruiz
Finalización — First stage,2025-10-29,20:20,Millonarios,0–0,Once Caldas,"16,955",Estadio Nemesio Camacho El Campín,Ferney Trujillo
Finalización — First stage,2025-10-30,16:00,Unión Magdalena,0–2,Tolima,"16,162",Estadio Sierra Nevada,Carlos Betancourt
Finalización — First stage,2025-10-30,20:20,Llaneros,0–3,Nacional,,Estadio Metropolitano Roberto Meléndez,Luis G. Matorel
Finalización — First stage,2025-11-06,18:10,Boyacá Chicó,0–2,CD América,"1,500",Estadio de la Independencia,Wilmar Montaño
Finalización — First stage,2025-11-07,15:30,Envigado,1–1,Millonarios,"1,000",Estadio Polideportivo Sur,Carlos Ortega
Finalización — First stage,2025-11-07,18:10,Pereira,1–4,Independiente,"2,000",Estadio Hernán Ramírez Villegas,Diego Ulloa
Finalización — First stage,2025-11-07,20:20,Tolima,3–1,Llaneros,"3,000",Estadio Manuel Murillo Toro,Andrés Rojas
Finalización — First stage,2025-11-08,16:10,Fortaleza FC,1–1,Junior,"5,000",Estadio Metropolitano de Techo,Alexander Ortiz
Finalización — First stage,2025-11-08,18:20,Nacional,2–1,Rionegro,"32,387",Estadio Atanasio Girardot,Jhon Ospina
Finalización — First stage,2025-11-08,20:30,CA Bucaramanga,2–1,La Equidad,"22,000",Estadio Américo Montanini,Alejandro Moncada
Finalización — First stage,2025-11-09,14:00,Once Caldas,1–0,Pasto,"3,000",Estadio Palogrande,Carlos Márquez
Finalización — First stage,2025-11-09,16:10,Alianza,2–0,Boyacá Chicó,"4,000",Estadio Armando Maestre Pavajeau,Luis Delgado
Finalización — First stage,2025-11-09,18:20,CD América,3–0,Unión Magdalena,"5,000",Estadio Olímpico Pascual Guerrero,Stiven Camargo
Finalización — First stage,2025-11-09,20:30,Santa Fe,1–0,AD Cali,"25,000",Estadio Nemesio Camacho El Campín,Wilmar Roldán
Finalización — First stage,2025-11-12,16:00,La Equidad,4–0,Pereira,"1,000",Estadio Metropolitano de Techo,Carlos Márquez
Finalización — First stage,2025-11-12,20:20,Boyacá Chicó,1–2,Millonarios,500,Estadio de la Independencia,Álvaro Meléndez
Finalización — First stage,2025-11-13,19:00,Junior,2–1,Nacional,"8,000",Estadio Metropolitano Roberto Meléndez,Carlos Betancourt
